0,1,2,3,Category,Epoch
0.2637784,0.24223864,0.2255609,0.26842207,Action,1
0.26462883,0.2422734,0.22677343,0.26632434,Affective,1
0.25777054,0.25544325,0.23209655,0.25468966,Art,1
0.26131153,0.25324735,0.22709154,0.25834957,BlackWhite,1
0.26004374,0.24822654,0.23166354,0.26006615,Cartoon,1
0.25296634,0.25810042,0.22692162,0.26201162,Fractal,1
0.25325868,0.2526614,0.23426417,0.2598157,Indoor,1
0.2560307,0.261685,0.22742407,0.2548602,Inverted,1
0.2602062,0.25154266,0.23389702,0.25435412,Jumbled,1
0.25585836,0.2661742,0.22965986,0.24830763,LineDrawing,1
0.25143108,0.26701012,0.23063204,0.2509268,LowResolution,1
0.25315738,0.26577142,0.22902216,0.25204906,Noisy,1
0.2594257,0.24833557,0.22990286,0.26233587,Object,1
0.2583544,0.25901198,0.22533163,0.25730202,OutdoorManMade,1
0.25993216,0.26251706,0.22578058,0.2517702,OutdoorNatural,1
0.24983591,0.26742843,0.228238,0.25449768,Pattern,1
0.26171482,0.25636825,0.22477962,0.25713733,Random,1
0.25158727,0.2542995,0.23921926,0.25489396,Satellite,1
0.25587595,0.25544283,0.2288551,0.25982615,Sketch,1
0.26861852,0.23346789,0.22992216,0.26799142,Social,1
0.34955287,0.18411303,0.091147065,0.37518713,Action,10
0.3286858,0.21803993,0.09609646,0.35717785,Affective,10
0.2618954,0.38428584,0.10745679,0.24636199,Art,10
0.24373432,0.3498746,0.10311807,0.30327302,BlackWhite,10
0.29797417,0.2629285,0.09984811,0.33924925,Cartoon,10
0.21601,0.39777896,0.10078229,0.2854288,Fractal,10
0.2760006,0.31494457,0.10933892,0.29971594,Indoor,10
0.21053325,0.45738882,0.111910135,0.22016777,Inverted,10
0.28606406,0.3506867,0.11884232,0.24440695,Jumbled,10
0.24786729,0.39509386,0.10828671,0.24875216,LineDrawing,10
0.16383208,0.5609374,0.10640917,0.16882129,LowResolution,10
0.19854854,0.48397177,0.10771468,0.20976502,Noisy,10
0.3182504,0.31542784,0.10310268,0.26321906,Object,10
0.23121156,0.36129516,0.104840785,0.30265248,OutdoorManMade,10
0.24971034,0.36831146,0.11340139,0.26857677,OutdoorNatural,10
0.17339738,0.45084706,0.10391414,0.27184147,Pattern,10
0.29724118,0.36758325,0.10282127,0.23235428,Random,10
0.20053606,0.38934183,0.1330461,0.27707604,Satellite,10
0.27441993,0.33057678,0.08739414,0.3076092,Sketch,10
0.3759574,0.13321614,0.09715003,0.39367643,Social,10
0.35739094,0.17133832,0.08285223,0.38841844,Action,11
0.33690387,0.21066132,0.08757242,0.36486244,Affective,11
0.25907177,0.40177763,0.09833552,0.24081513,Art,11
0.24201979,0.36132488,0.095033064,0.30162224,BlackWhite,11
0.30056477,0.26113614,0.09211223,0.34618688,Cartoon,11
0.21138084,0.41486394,0.09247469,0.2812805,Fractal,11
0.27973148,0.319605,0.10108042,0.2995831,Indoor,11
0.20031244,0.4842398,0.103458315,0.21198939,Inverted,11
0.2870693,0.36188692,0.10999514,0.24104863,Jumbled,11
0.24729759,0.4086427,0.09977248,0.24428716,LineDrawing,11
0.1524919,0.59525824,0.0969775,0.15527241,LowResolution,11
0.18890461,0.5129327,0.0988561,0.19930664,Noisy,11
0.3286578,0.31807995,0.09508753,0.25817475,Object,11
