,epoch,timestamp,learning_rate,loss,validation_IG,validation_LL,validation_AUC,validation_NSS,train_loss_Action,val_ig_Action,val_ll_Action,train_loss_Affective,val_ig_Affective,val_ll_Affective,train_loss_Art,val_ig_Art,val_ll_Art,train_loss_BlackWhite,val_ig_BlackWhite,val_ll_BlackWhite,train_loss_Cartoon,val_ig_Cartoon,val_ll_Cartoon,train_loss_Fractal,val_ig_Fractal,val_ll_Fractal,train_loss_Indoor,val_ig_Indoor,val_ll_Indoor,train_loss_Inverted,val_ig_Inverted,val_ll_Inverted,train_loss_Jumbled,val_ig_Jumbled,val_ll_Jumbled,train_loss_LineDrawing,val_ig_LineDrawing,val_ll_LineDrawing,train_loss_LowResolution,val_ig_LowResolution,val_ll_LowResolution,train_loss_Noisy,val_ig_Noisy,val_ll_Noisy,train_loss_Object,val_ig_Object,val_ll_Object,train_loss_OutdoorManMade,val_ig_OutdoorManMade,val_ll_OutdoorManMade,train_loss_OutdoorNatural,val_ig_OutdoorNatural,val_ll_OutdoorNatural,train_loss_Pattern,val_ig_Pattern,val_ll_Pattern,train_loss_Random,val_ig_Random,val_ll_Random,train_loss_Satelite,val_ig_Satelite,val_ll_Satelite,train_loss_Sketch,val_ig_Sketch,val_ll_Sketch,train_loss_Social,val_ig_Social,val_ll_Social
11,11,2024-11-18 07:05:23.111532,0.0001,4456.951345062256,-4501.487753295898,-4518.123083496093,0.8721940290182829,2.0827254235744475,4502.875644683838,-4666.987518310547,-4683.622817993164,4706.752765655518,-4741.216384887695,-4757.851669311523,4574.875076293945,-4564.173080444336,-4580.808395385742,4330.469703674316,-4243.499404907227,-4260.134765625,4846.7335205078125,-4905.703796386719,-4922.339050292969,4207.127769470215,-4296.352188110352,-4312.987503051758,4724.667510986328,-4909.723907470703,-4926.359161376953,4645.419212341309,-4926.494674682617,-4943.129959106445,4936.669380187988,-4880.731109619141,-4897.366363525391,4548.386173248291,-4555.947006225586,-4572.582290649414,3710.0993041992188,-3639.6851959228516,-3656.3206634521484,3977.953598022461,-4080.3528442382812,-4096.988220214844,4385.703742980957,-4493.72428894043,-4510.359619140625,4670.211627960205,-4720.809967041016,-4737.445251464844,4341.061973571777,-4291.276550292969,-4307.911911010742,4149.428867340088,-4186.469284057617,-4203.10466003418,4308.969783782959,-4209.07209777832,-4225.707489013672,4489.499324798584,-4589.374221801758,-4606.009521484375,4015.629970550537,-4124.723648071289,-4141.358993530273,5066.492050170898,-5003.437957763672,-5020.073211669922
12,12,2024-11-18 07:36:11.872550,0.0001,4453.273170852661,-4500.967134094239,-4517.602490234375,0.8723553195595741,2.0809311240911486,4497.392547607422,-4665.497253417969,-4682.132553100586,4703.659435272217,-4742.791519165039,-4759.426803588867,4573.733722686768,-4566.713928222656,-4583.3492431640625,4326.647747039795,-4244.360290527344,-4260.995651245117,4843.745189666748,-4903.752502441406,-4920.387756347656,4202.231494903564,-4297.294677734375,-4313.929992675781,4723.911758422852,-4907.146057128906,-4923.781311035156,4642.322952270508,-4924.438705444336,-4941.073989868164,4936.763652801514,-4882.342178344727,-4898.977447509766,4545.165092468262,-4551.602447509766,-4568.237731933594,3706.232261657715,-3641.605026245117,-3658.240493774414,3974.0726051330566,-4079.4484252929688,-4096.083801269531,4381.1512451171875,-4496.936462402344,-4513.571792602539,4666.452533721924,-4718.103790283203,-4734.739074707031,4335.229015350342,-4291.149963378906,-4307.78532409668,4144.85298538208,-4189.273025512695,-4205.908401489258,4306.039817810059,-4208.924301147461,-4225.5596923828125,4482.789810180664,-4590.617477416992,-4607.252777099609,4013.8242683410645,-4120.155776977539,-4136.791122436523,5059.2454833984375,-4997.189147949219,-5013.824401855469
13,13,2024-11-18 08:06:58.123008,0.0001,4450.356872558594,-4500.850465393067,-4517.485784912109,0.8721036188304424,2.0830896120518445,4495.258277893066,-4666.669448852539,-4683.304748535156,4694.903617858887,-4743.3154296875,-4759.950714111328,4569.844692230225,-4563.693908691406,-4580.3292236328125,4325.84810256958,-4247.409866333008,-4264.045227050781,4837.455902099609,-4904.865966796875,-4921.501220703125,4203.400020599365,-4296.961410522461,-4313.596725463867,4720.740325927734,-4910.740203857422,-4927.375457763672,4637.176429748535,-4924.999359130859,-4941.6346435546875,4933.441780090332,-4879.248001098633,-4895.883270263672,4545.086948394775,-4552.178527832031,-4568.813812255859,3701.2924728393555,-3638.5359802246094,-3655.1714477539062,3970.8453330993652,-4077.338821411133,-4093.9741973876953,4377.538650512695,-4499.172790527344,-4515.808120727539,4664.738567352295,-4718.598205566406,-4735.233489990234,4333.752868652344,-4289.348937988281,-4305.984298706055,4143.064861297607,-4187.817977905273,-4204.453353881836,4302.596439361572,-4207.142883300781,-4223.778274536133,4484.180595397949,-4585.398345947266,-4602.033645629883,4011.105930328369,-4123.2529296875,-4139.888275146484,5054.865547180176,-5000.320343017578,-5016.955596923828
14,14,2024-11-18 08:37:40.990952,0.0001,4447.212631225586,-4501.105503845215,-4517.740800476075,0.8723679300397634,2.094578205794096,4491.104198455811,-4667.523544311523,-4684.158843994141,4693.773895263672,-4745.157775878906,-4761.793060302734,4567.538261413574,-4564.823593139648,-4581.458908081055,4321.559352874756,-4244.705657958984,-4261.341018676758,4838.5803871154785,-4906.868438720703,-4923.503692626953,4198.552604675293,-4295.494583129883,-4312.129898071289,4720.116283416748,-4912.149200439453,-4928.784454345703,4633.690521240234,-4927.558044433594,-4944.193328857422,4932.840595245361,-4881.529571533203,-4898.164825439453,4541.886859893799,-4553.526947021484,-4570.1622314453125,3699.156410217285,-3635.183395385742,-3651.818862915039,3966.4637489318848,-4075.244659423828,-4091.8800354003906,4374.751434326172,-4498.761138916016,-4515.396469116211,4661.717998504639,-4719.593643188477,-4736.228927612305,4330.4454917907715,-4291.985412597656,-4308.62077331543,4138.854919433594,-4189.857223510742,-4206.492599487305,4299.086475372314,-4204.740417480469,-4221.37580871582,4478.87313079834,-4586.922592163086,-4603.557891845703,4007.101261138916,-4119.160751342773,-4135.796096801758,5048.158664703369,-5001.3232421875,-5017.95849609375
15,15,2024-11-18 09:08:19.221434,0.0001,4444.300317001343,-4502.052702331543,-4518.6880554199215,0.8715520709753036,2.077902051061392,4488.036201477051,-4666.338455200195,-4682.9737548828125,4687.452751159668,-4745.049102783203,-4761.684387207031,4565.074165344238,-4564.5146484375,-4581.149963378906,4318.2119140625,-4246.444534301758,-4263.079895019531,4832.96622467041,-4906.514587402344,-4923.149841308594,4199.479732513428,-4300.018615722656,-4316.6539306640625,4714.759315490723,-4914.464019775391,-4931.099273681641,4630.321521759033,-4923.982147216797,-4940.617431640625,4932.366458892822,-4880.587661743164,-4897.222930908203,4538.632698059082,-4555.132232666016,-4571.767517089844,3692.9694442749023,-3638.6978759765625,-3655.3333435058594,3965.4589653015137,-4081.0313720703125,-4097.666748046875,4370.073837280273,-4501.798538208008,-4518.433853149414,4660.950134277344,-4718.679702758789,-4735.314987182617,4328.600120544434,-4288.687515258789,-4305.3228759765625,4139.122535705566,-4187.854232788086,-4204.489608764648,4298.359973907471,-4206.550704956055,-4223.186096191406,4475.038009643555,-4586.744827270508,-4603.380126953125,4006.140625,-4126.149688720703,-4142.7850341796875,5041.991611480713,-5001.813934326172,-5018.449188232422
16,16,2024-11-18 09:38:56.591140,0.0001,4441.6546443939205,-4499.679216003418,-4516.3145202636715,0.8721552565693855,2.099391820654273,4483.803440093994,-4666.529922485352,-4683.165222167969,4683.250930786133,-4741.151504516602,-4757.78678894043,4561.887195587158,-4563.143707275391,-4579.779022216797,4318.185791015625,-4247.753845214844,-4264.389205932617,4832.042449951172,-4904.608367919922,-4921.243621826172,4196.098838806152,-4295.673416137695,-4312.308731079102,4712.95299911499,-4909.4034423828125,-4926.0386962890625,4628.882175445557,-4921.670166015625,-4938.305450439453,4928.952896118164,-4880.988693237305,-4897.623962402344,4537.297065734863,-4554.751266479492,-4571.38655090332,3693.506965637207,-3631.3025665283203,-3647.9380493164062,3961.23974609375,-4073.9346466064453,-4090.570022583008,4366.945217132568,-4499.264495849609,-4515.899826049805,4657.013378143311,-4718.309494018555,-4734.944778442383,4328.663604736328,-4288.302597045898,-4304.937957763672,4136.211566925049,-4187.933532714844,-4204.568908691406,4295.018493652344,-4206.986267089844,-4223.621658325195,4471.647632598877,-4583.657760620117,-4600.293060302734,4004.4600563049316,-4117.614562988281,-4134.249908447266,5035.032180786133,-5000.60400390625,-5017.2392578125
17,17,2024-11-18 10:09:26.864764,0.0001,4438.612432098389,-4500.10791015625,-4516.743228149414,0.8718913611024618,2.0920373741537333,4479.692207336426,-4667.14323425293,-4683.778533935547,4678.503288269043,-4743.258605957031,-4759.893890380859,4559.166862487793,-4561.593322753906,-4578.2286376953125,4316.450866699219,-4245.000686645508,-4261.636047363281,4827.217414855957,-4905.183685302734,-4921.818939208984,4192.3137855529785,-4296.898666381836,-4313.533981323242,4712.8424644470215,-4908.858245849609,-4925.493499755859,4624.963966369629,-4924.932769775391,-4941.568054199219,4925.433120727539,-4882.624862670898,-4899.2601318359375,4536.889457702637,-4550.430358886719,-4567.065643310547,3689.3315925598145,-3632.607208251953,-3649.24267578125,3957.0071601867676,-4078.2022247314453,-4094.837600708008,4365.497814178467,-4499.716796875,-4516.352127075195,4654.892658233643,-4719.062042236328,-4735.697326660156,4324.822868347168,-4290.852981567383,-4307.488342285156,4132.259014129639,-4188.150421142578,-4204.785797119141,4293.658260345459,-4205.408432006836,-4222.0438232421875,4467.206230163574,-4583.854415893555,-4600.489715576172,4003.9456748962402,-4116.358444213867,-4132.993789672852,5030.153823852539,-5002.020904541016,-5018.656158447266
18,18,2024-11-18 10:39:58.310023,0.0001,4436.475715255738,-4499.618795776367,-4516.254135131836,0.8718304954469204,2.0976580530405045,4475.388134002686,-4666.3096923828125,-4682.94499206543,4673.860321044922,-4745.429931640625,-4762.065216064453,4557.132038116455,-4564.4560546875,-4581.091369628906,4313.392322540283,-4247.808349609375,-4264.443710327148,4823.894115447998,-4905.838134765625,-4922.473388671875,4192.574161529541,-4292.919464111328,-4309.554779052734,4709.365009307861,-4908.146301269531,-4924.781555175781,4619.353328704834,-4922.959991455078,-4939.595275878906,4926.495754241943,-4881.347854614258,-4897.983123779297,4533.304500579834,-4548.023254394531,-4564.658538818359,3685.961078643799,-3630.447021484375,-3647.082489013672,3956.7638397216797,-4074.0845489501953,-4090.719924926758,4364.184104919434,-4498.937652587891,-4515.572982788086,4652.509204864502,-4718.681015014648,-4735.316299438477,4321.255157470703,-4290.371520996094,-4307.006881713867,4132.147861480713,-4188.049667358398,-4204.685043334961,4290.673370361328,-4208.656829833984,-4225.292221069336,4472.5883712768555,-4584.438735961914,-4601.074035644531,4003.8974800109863,-4117.361907958984,-4133.997253417969,5024.774002075195,-4998.108001708984,-5014.743255615234
19,19,2024-11-18 11:09:54.779702,0.0001,4433.387009429932,-4499.445289611816,-4516.080645751953,0.8717207808047533,2.0961983669549227,4470.598041534424,-4665.324356079102,-4681.959655761719,4669.30485534668,-4741.366973876953,-4758.002258300781,4554.815017700195,-4563.052230834961,-4579.687545776367,4306.664539337158,-4252.998016357422,-4269.633377075195,4822.034744262695,-4904.003143310547,-4920.638397216797,4190.543407440186,-4296.415725708008,-4313.051040649414,4707.647109985352,-4910.5322265625,-4927.16748046875,4617.31827545166,-4922.069641113281,-4938.704925537109,4925.771015167236,-4878.761856079102,-4895.397125244141,4531.808685302734,-4551.491760253906,-4568.127044677734,3682.9389572143555,-3629.9771423339844,-3646.6126098632812,3954.5084953308105,-4076.4827728271484,-4093.118148803711,4358.28231048584,-4497.352279663086,-4513.987609863281,4648.5510330200195,-4717.228378295898,-4733.863662719727,4321.425521850586,-4289.3297119140625,-4305.965072631836,4130.276710510254,-4187.048431396484,-4203.683807373047,4288.079559326172,-4207.992599487305,-4224.627990722656,4463.9835777282715,-4579.887054443359,-4596.522354125977,3999.6662521362305,-4118.556015014648,-4135.191360473633,5023.522071838379,-4999.035736083984,-5015.670989990234
20,20,2024-11-18 11:39:38.417620,0.0001,4431.007143402099,-4500.190971374512,-4516.826327514648,0.871311378851533,2.094813196361065,4469.628921508789,-4669.395065307617,-4686.030364990234,4669.662567138672,-4744.357757568359,-4760.9930419921875,4553.395389556885,-4563.1905517578125,-4579.825866699219,4307.184970855713,-4247.448791503906,-4264.08415222168,4819.440895080566,-4902.981018066406,-4919.616271972656,4190.885585784912,-4293.523300170898,-4310.158615112305,4705.462032318115,-4911.000823974609,-4927.636077880859,4615.244766235352,-4922.955062866211,-4939.590347290039,4921.136203765869,-4880.10563659668,-4896.740905761719,4526.57506942749,-4552.167053222656,-4568.802337646484,3681.7023315429688,-3628.591079711914,-3645.226547241211,3950.5098571777344,-4076.67041015625,-4093.3057861328125,4352.915199279785,-4501.493316650391,-4518.128646850586,4648.116298675537,-4721.7847900390625,-4738.420074462891,4316.289470672607,-4288.863754272461,-4305.499114990234,4127.1901512146,-4185.622650146484,-4202.258026123047,4285.3900146484375,-4205.683029174805,-4222.318420410156,4463.387016296387,-4581.814376831055,-4598.449676513672,3998.2090492248535,-4123.70426940918,-4140.339614868164,5017.817050933838,-5002.467041015625,-5019.102294921875
