Columna1,epoch,timestamp,learning_rate,loss,validation_IG,validation_LL,validation_AUC,validation_NSS,train_loss_Action,val_ig_Action,val_ll_Action,train_loss_Affective,val_ig_Affective,val_ll_Affective,train_loss_Art,val_ig_Art,val_ll_Art,train_loss_BlackWhite,val_ig_BlackWhite,val_ll_BlackWhite,train_loss_Cartoon,val_ig_Cartoon,val_ll_Cartoon,train_loss_Fractal,val_ig_Fractal,val_ll_Fractal,train_loss_Indoor,val_ig_Indoor,val_ll_Indoor,train_loss_Inverted,val_ig_Inverted,val_ll_Inverted,train_loss_Jumbled,val_ig_Jumbled,val_ll_Jumbled,train_loss_LineDrawing,val_ig_LineDrawing,val_ll_LineDrawing,train_loss_LowResolution,val_ig_LowResolution,val_ll_LowResolution,train_loss_Noisy,val_ig_Noisy,val_ll_Noisy,train_loss_Object,val_ig_Object,val_ll_Object,train_loss_OutdoorManMade,val_ig_OutdoorManMade,val_ll_OutdoorManMade,train_loss_OutdoorNatural,val_ig_OutdoorNatural,val_ll_OutdoorNatural,train_loss_Pattern,val_ig_Pattern,val_ll_Pattern,train_loss_Random,val_ig_Random,val_ll_Random,train_loss_Satelite,val_ig_Satelite,val_ll_Satelite,train_loss_Sketch,val_ig_Sketch,val_ll_Sketch,train_loss_Social,val_ig_Social,val_ll_Social
11,11,00:17.9,0.0001,4467.381779,-4476.718953,-4493.355206,0.869785372,2.066891401,4611.105588,-4524.472498,-4541.108728,4735.372202,-4727.44668,-4744.08291,4538.238699,-4741.597168,-4758.233398,4336.900662,-4341.812842,-4358.449072,4787.510672,-4983.712231,-5000.348462,4268.226352,-4266.139783,-4282.776013,4721.53566,-4894.087817,-4910.724048,4682.032178,-4722.481299,-4739.117529,4910.203561,-4866.188452,-4882.824683,4529.302524,-4499.346411,-4515.982642,3648.384012,-3790.934973,-3807.571204,3958.506879,-4132.205029,-4148.84126,4400.044193,-4508.73606,-4525.37229,4693.843961,-4561.282996,-4577.919226,4325.1017,-4352.556897,-4369.193127,4144.654623,-4046.107202,-4062.743433,4327.54407,-4258.889551,-4275.525781,4576.372015,-4356.998877,-4373.635107,4051.056552,-4004.154236,-4020.790466,5101.69953,-4955.228198,-4971.864429
12,12,13:24.2,0.0001,4464.686739,-4475.64811,-4492.284347,0.869550503,2.070976154,4608.753735,-4524.614075,-4541.250305,4730.191565,-4727.045557,-4743.681787,4533.950778,-4739.531519,-4756.167749,4336.089651,-4336.308789,-4352.94502,4783.300409,-4984.679272,-5001.315503,4266.312167,-4263.527966,-4280.164197,4717.936081,-4890.570972,-4907.207202,4679.383188,-4723.188159,-4739.82439,4907.392838,-4866.331567,-4882.967798,4528.554688,-4501.899377,-4518.535608,3646.970029,-3787.814136,-3804.450366,3956.310901,-4131.529492,-4148.165723,4395.302426,-4512.792676,-4529.428906,4693.441544,-4558.412781,-4575.049011,4319.995456,-4349.169067,-4365.805298,4143.483441,-4044.134351,-4060.770581,4325.461002,-4257.532422,-4274.168652,4575.355252,-4354.752454,-4371.388684,4048.004953,-4003.623914,-4020.260144,5097.544766,-4955.503809,-4972.140039
13,13,26:30.6,0.0001,4461.968168,-4476.030902,-4492.667169,0.86914277,2.069350092,4604.226816,-4526.933691,-4543.569922,4726.938208,-4727.571326,-4744.207556,4532.933044,-4741.028247,-4757.664478,4330.029855,-4340.172375,-4356.808606,4781.807184,-4987.643799,-5004.280029,4264.701791,-4265.360681,-4281.996912,4714.7754,-4892.687109,-4909.32334,4676.916916,-4720.843872,-4737.480103,4905.515875,-4866.893237,-4883.529468,4524.56326,-4494.864514,-4511.500745,3643.440759,-3784.842822,-3801.479053,3954.096951,-4130.965051,-4147.601282,4390.440997,-4512.159949,-4528.796179,4693.658536,-4559.126208,-4575.762439,4318.894,-4348.840442,-4365.476672,4141.260437,-4043.823816,-4060.460046,4324.41601,-4261.138818,-4277.775049,4571.9742,-4352.006482,-4368.642712,4045.852307,-4004.550525,-4021.186755,5092.920828,-4959.165552,-4975.801782
14,14,39:37.2,0.0001,4459.375924,-4476.460563,-4493.096808,0.869090269,2.066910974,4600.168347,-4529.339172,-4545.975403,4721.583792,-4728.208679,-4744.84491,4533.795636,-4741.976172,-4758.612402,4329.464496,-4340.564526,-4357.200757,4777.028201,-4985.509326,-5002.145557,4263.658255,-4264.21488,-4280.851111,4713.518439,-4893.050244,-4909.686475,4673.075055,-4722.119678,-4738.755908,4903.295776,-4869.626904,-4886.263135,4525.932553,-4497.098303,-4513.734534,3640.994717,-3787.264941,-3803.901172,3952.416434,-4128.825903,-4145.462134,4389.44248,-4515.320447,-4531.956677,4689.448312,-4557.571265,-4574.207495,4315.741977,-4350.048511,-4366.684741,4138.729932,-4047.728442,-4064.364673,4320.173303,-4256.806116,-4273.442346,4567.248428,-4354.991736,-4371.627966,4045.327509,-4003.421191,-4020.057422,5086.474854,-4955.524951,-4972.161182
15,15,52:42.8,0.0001,4457.165235,-4476.127866,-4492.764088,0.869053131,2.065388583,4596.715836,-4529.955286,-4546.591516,4719.483105,-4726.123206,-4742.759436,4529.816629,-4743.10437,-4759.740601,4328.009012,-4339.265381,-4355.901611,4775.484021,-4986.908789,-5003.54502,4262.972256,-4263.171484,-4279.807715,4710.284436,-4895.222583,-4911.858813,4671.676831,-4721.414331,-4738.050562,4902.377499,-4868.063831,-4884.700061,4521.544977,-4502.018445,-4518.654675,3638.560919,-3786.223352,-3802.859583,3949.747263,-4127.271057,-4143.907288,4385.296667,-4511.446838,-4528.083069,4689.205771,-4559.515015,-4576.151245,4315.727301,-4348.807739,-4365.44397,4137.2703,-4044.382068,-4061.018298,4317.975485,-4256.938904,-4273.575134,4566.174289,-4353.358667,-4369.994897,4043.03963,-4000.440588,-4017.076819,5081.942462,-4958.925269,-4975.561499
16,16,05:48.6,0.0001,4454.306417,-4476.779023,-4493.415245,0.868676706,2.063372671,4592.481171,-4531.438062,-4548.074292,4714.647681,-4726.32832,-4742.964551,4527.004279,-4744.966089,-4761.602319,4326.308673,-4340.497754,-4357.133984,4772.156418,-4986.019482,-5002.655713,4260.271182,-4263.576721,-4280.212952,4710.159177,-4895.800781,-4912.437012,4667.436938,-4721.479639,-4738.115869,4899.107999,-4869.934985,-4886.571216,4521.400583,-4500.598132,-4517.234363,3637.144687,-3784.013928,-3800.650159,3946.637366,-4128.791199,-4145.427429,4380.608963,-4511.622144,-4528.258374,4683.859384,-4560.198499,-4576.834729,4310.41124,-4349.047644,-4365.683875,4138.864484,-4046.8396,-4063.47583,4316.13996,-4256.829822,-4273.466052,4565.318933,-4355.195044,-4371.831274,4040.877731,-4004.260815,-4020.897046,5075.291656,-4958.141748,-4974.777979
17,17,18:54.7,0.0001,4452.312492,-4477.915895,-4494.552113,0.868256698,2.058275939,4591.14353,-4530.994861,-4547.631091,4710.804358,-4729.279822,-4745.916052,4526.473093,-4746.158716,-4762.794946,4322.260446,-4340.550964,-4357.187195,4772.349503,-4986.547729,-5003.18396,4259.460944,-4264.479187,-4281.115417,4706.956332,-4897.218103,-4913.854333,4667.919351,-4719.887573,-4736.523804,4897.174313,-4870.841589,-4887.47782,4519.866406,-4500.617603,-4517.253833,3633.684619,-3784.825562,-3801.461792,3945.76774,-4133.70603,-4150.342261,4379.754962,-4517.933813,-4534.570044,4684.393665,-4561.743286,-4578.379517,4309.378891,-4350.950305,-4367.586536,4134.4,-4047.885071,-4064.521301,4314.491516,-4260.088794,-4276.725024,4560.355893,-4354.940271,-4371.576501,4039.51734,-4001.091467,-4017.727698,5070.096906,-4958.576978,-4975.213208
18,18,32:02.0,0.0001,4449.942377,-4477.320746,-4493.956952,0.867955399,2.053466761,4588.051837,-4529.063074,-4545.699304,4706.809769,-4729.457507,-4746.093738,4524.162274,-4741.280615,-4757.916846,4320.514185,-4339.259509,-4355.89574,4767.521442,-4984.192505,-5000.828735,4256.588959,-4262.612097,-4279.248328,4705.325311,-4895.727417,-4912.363647,4664.93446,-4721.536914,-4738.173145,4897.502026,-4869.104773,-4885.741003,4517.383276,-4506.508533,-4523.144763,3631.253577,-3784.089722,-3800.725952,3943.225134,-4129.215051,-4145.851282,4375.67229,-4519.065271,-4535.701501,4682.251373,-4557.770154,-4574.406384,4305.89043,-4350.569348,-4367.205579,4134.729495,-4042.043506,-4058.679736,4311.544827,-4257.798535,-4274.434766,4557.981964,-4355.237744,-4371.873975,4040.247281,-4015.038049,-4031.67428,5067.257629,-4956.844458,-4973.480688
19,19,45:07.9,0.0001,4447.879196,-4476.310233,-4492.946475,0.867993298,2.054458296,4582.883636,-4527.390405,-4544.026636,4702.371426,-4729.931372,-4746.567603,4523.597516,-4742.794971,-4759.431201,4320.665295,-4338.762537,-4355.398767,4764.949457,-4986.879883,-5003.516113,4256.471127,-4263.202393,-4279.838623,4704.068631,-4896.048877,-4912.685107,4663.160373,-4720.373584,-4737.009814,4893.279822,-4870.256641,-4886.892871,4517.578247,-4502.467908,-4519.104138,3627.718674,-3780.656628,-3797.292859,3941.741077,-4132.005896,-4148.642126,4373.318893,-4516.760974,-4533.397205,4680.9409,-4557.80946,-4574.445691,4302.601331,-4349.861865,-4366.498096,4132.188861,-4041.109705,-4057.745935,4309.939725,-4256.538123,-4273.174353,4556.057898,-4354.824878,-4371.461108,4038.466904,-4000.954968,-4017.591199,5065.584073,-4957.573755,-4974.209985
20,20,58:14.5,0.0001,4445.671894,-4477.535552,-4494.171783,0.867307861,2.049315768,4583.47652,-4529.209045,-4545.845276,4701.624606,-4732.823621,-4749.459851,4519.527179,-4746.210596,-4762.846826,4317.957095,-4339.224329,-4355.860559,4763.366174,-4987.036499,-5003.672729,4254.07326,-4260.470471,-4277.106702,4699.75448,-4896.654443,-4913.290674,4658.593372,-4719.962695,-4736.598926,4893.900818,-4867.583643,-4884.219873,4515.981668,-4503.970483,-4520.606714,3626.815155,-3780.541406,-3797.177637,3938.742337,-4129.538562,-4146.174792,4370.915509,-4514.645862,-4531.282092,4681.463452,-4559.20083,-4575.837061,4302.516104,-4351.485205,-4368.121436,4128.230081,-4047.19408,-4063.83031,4308.824338,-4256.693188,-4273.329419,4552.202979,-4358.729639,-4375.365869,4035.532489,-4010.65448,-4027.29071,5059.940286,-4958.882007,-4975.518237
